Timestamp,specific_ut_college,credit_hours,year_at_UT,sleep_hours,happiness_scale
3/1/2023 20:00:03,School of Information,12,2,6,7
3/1/2023 20:02:31,McCombs School of Business,13,1,8,5
3/1/2023 20:02:39,College of Natural Science,15,1,7,5
3/1/2023 20:02:39,School of Information,15,3,4,3
3/1/2023 20:02:49,Moody College of Communication,12,1,7,8
3/1/2023 20:02:58,School of Information,12,1,6,7
3/1/2023 20:03:06,Moody College of Communication,12,1,13,3
3/1/2023 20:03:09,College of Natural Science,14,1,6.5,5
3/1/2023 20:03:34,College of Natural Science,14,2,4,8
3/1/2023 20:03:38,McCombs School of Business,12,1,6,10
3/1/2023 20:03:41,College of Natural Science,16,4,10,7
3/1/2023 20:03:46,College of Natural Science,17,1,8,8
3/1/2023 20:04:18,School of Information,15,1,8,7
3/1/2023 20:04:41,College of Liberal Arts,12,1,7,5
3/1/2023 20:04:55,Moody College of Communication,15,1,7,8
3/1/2023 20:05:13,College of Liberal Arts,15,1,7,7
3/1/2023 20:05:20,Cockrell School of Engineering,13,3,5,6
3/1/2023 20:05:27,School of Information,18+,1,4,3
3/1/2023 20:05:49,School of Information,17,1,6,6
3/1/2023 20:06:17,School of Information,15,1,7,6
3/1/2023 20:06:41,College of Liberal Arts,16,1,5,5
3/1/2023 20:07:29,College of Natural Science,3,3,7,7
3/1/2023 20:07:56,College of Education,13,1,7,8
3/1/2023 20:08:39,College of Natural Science,15,1,6,5
3/1/2023 20:13:27,McCombs School of Business,14,1,8,7
3/1/2023 20:16:31,School of Information,18+,1,6,4
3/1/2023 20:16:32,School of Information,16,1,5,7
3/1/2023 20:16:39,School of Information,18+,1,6,4
3/1/2023 20:16:44,School of Information,12,1,7,7
3/1/2023 20:16:59,College of Liberal Arts,15,1,7,3
3/1/2023 20:18:32,School of Nursing,12,1,6,6
3/1/2023 20:19:14,College of Natural Science,15,3,6,5
3/1/2023 20:24:53,College of Liberal Arts,13,2,7,5
3/1/2023 20:25:15,College of Natural Science,6,4,7,8
3/1/2023 20:25:20,College of Natural Science,14,1,5,5
3/1/2023 20:25:23,College of Liberal Arts,12,2,5,5
3/1/2023 20:26:15,College of Education,12,1,8,8
3/1/2023 20:26:20,College of Liberal Arts,15,1,6,9
3/1/2023 20:26:30,College of Liberal Arts,16,2,8,6
3/1/2023 20:26:48,College of Education,15,1,7,8
3/1/2023 20:26:50,College of Natural Science,17,3,7,7
3/1/2023 20:27:45,College of Natural Science,15,1,8,8
3/1/2023 20:27:49,School of Nursing,12,2,6.5,6
3/1/2023 20:27:56,College of Natural Science,9,3,8,8
3/1/2023 20:28:18,College of Liberal Arts,14,1,7,7
3/1/2023 20:28:54,College of Natural Science,12,7,8,9
3/1/2023 20:28:59,College of Liberal Arts,12,1,8,6
3/1/2023 20:30:23,College of Liberal Arts,15,3,6,8
3/1/2023 20:38:30,School of Information,12,1,8,9
3/1/2023 20:39:26,Cockrell School of Engineering,15,1,6.5,6
3/1/2023 20:41:51,College of Natural Science,15,8,7,8
3/1/2023 20:43:04,College of Liberal Arts,18+,1,7,7
